Date,Open,High,Low,Close
2019-07-17,13.8853,14.2403,13.8487,14.227
2019-07-18,14.2321,14.5041,14.1815,14.4984
2019-07-19,14.5069,14.7649,14.33,14.4394
2019-07-22,14.4844,14.658,14.4257,14.5948
2019-07-23,14.6042,14.8157,14.4512,14.7147
2019-07-24,14.7233,14.9302,14.6427,14.9013
2019-07-25,14.8891,14.9885,14.6688,14.7221
2019-07-26,14.7477,14.8281,14.6612,14.697
2019-07-29,14.7463,14.788,14.6868,14.769
2019-07-30,14.7763,14.8894,14.723,14.8542
2019-07-31,14.8527,14.8553,14.639,14.6869
2019-08-01,14.6809,14.7866,14.4355,14.7278
2019-08-02,14.7515,14.7521,14.4661,14.6051
2019-08-05,14.6083,14.9,14.4913,14.6339
2019-08-06,14.6568,14.7452,14.5935,14.6868
2019-08-07,14.6837,15.3732,14.6765,15.2765
2019-08-08,15.2478,15.3468,15.0077,15.1388
2019-08-09,15.161,15.3081,15.071,15.1571
2019-08-12,15.1445,15.2914,15.0146,15.2223
2019-08-13,15.2285,15.6276,14.8041,15.1915
2019-08-14,15.1975,15.5493,15.1072,15.4591
2019-08-15,15.4447,15.6027,15.354,15.5517
2019-08-16,15.5382,15.6132,15.3716,15.4334
2019-08-19,15.4419,15.4596,15.1848,15.2363
2019-08-20,15.2448,15.4857,15.2067,15.4589
2019-08-21,15.4538,15.4903,15.3248,15.445
2019-08-22,15.458,15.4663,15.2991,15.3848
2019-08-23,15.3909,15.715,15.34,15.6822
2019-08-26,15.7507,15.9821,15.7408,15.9175
2019-08-27,15.9083,16.4186,15.8862,16.4107
2019-08-28,16.4005,16.7017,16.2984,16.5728
2019-08-29,16.5594,16.8454,16.3326,16.5241
2019-08-30,16.5039,16.7788,16.3571,16.6877
2019-09-02,16.7645,16.9226,16.6309,16.8353
2019-09-03,16.8645,17.5774,16.7524,17.5514
2019-09-04,17.5283,17.8266,17.4518,17.7622
2019-09-05,17.6981,17.7445,16.7174,16.9011
2019-09-06,16.9009,17.0066,16.3044,16.3708
2019-09-09,16.4581,16.6134,16.2516,16.3026
2019-09-10,16.2903,16.4635,16.0955,16.3097
2019-09-11,16.3048,16.5158,16.2822,16.4591
2019-09-12,16.4496,16.853,16.2804,16.3569
2019-09-13,16.3372,16.413,15.7197,15.7453
2019-09-16,15.9924,16.355,15.9099,16.2208
2019-09-17,16.2327,16.3397,16.1428,16.2756
2019-09-18,16.2668,16.3001,15.9047,16.1039
2019-09-19,16.0878,16.2114,15.9634,16.1122
2019-09-20,16.1209,16.3003,16.0887,16.2914
2019-09-23,16.3019,17.0157,16.2902,16.9553
2019-09-24,16.9259,17.0494,16.605,16.8847
2019-09-25,16.8976,16.9784,16.2953,16.3668
2019-09-26,16.3834,16.4785,16.2107,16.3197
2019-09-27,16.3311,16.3966,15.8251,15.9849
2019-09-30,16.0317,16.0807,15.5271,15.5873
2019-10-01,15.5983,15.8519,15.5197,15.7688
2019-10-02,15.7828,16.1224,15.723,16.0209
2019-10-03,16.0299,16.2072,15.9385,16.0126
2019-10-04,16.0161,16.0851,15.7856,15.9816
2019-10-07,16.0748,16.0748,15.8328,15.891
2019-10-08,15.8953,16.2259,15.7514,16.1819
2019-10-09,16.1923,16.3572,16.1243,16.1599
2019-10-10,16.1847,16.2929,15.816,15.919
2019-10-11,15.9245,16.12,15.7063,15.8838
2019-10-14,15.9048,16.0569,15.8037,16.0135
2019-10-15,16.0085,16.0815,15.7384,15.7849
2019-10-16,15.7911,15.8422,15.5548,15.7143
2019-10-17,15.7214,15.8547,15.6226,15.7745
2019-10-18,15.7756,15.8039,15.6417,15.7314
2019-10-21,15.7482,16.0146,15.6928,15.7497
2019-10-22,15.7587,15.8683,15.6463,15.7473
2019-10-23,15.7753,15.8409,15.7345,15.7682
2019-10-24,15.7634,16.0618,15.6678,16.0309
2019-10-25,16.0464,16.5119,16.023,16.3072
2019-10-28,16.2605,16.3596,16.0347,16.081
2019-10-29,16.0748,16.1235,15.8876,16.0453
2019-10-30,16.0181,16.1592,15.8669,16.0307
2019-10-31,16.0135,16.3034,15.9534,16.2486
2019-11-01,16.2306,16.2704,16.1147,16.2256
2019-11-04,16.238,16.331,16.1292,16.2301
2019-11-05,16.2455,16.2599,15.8472,15.8747
2019-11-06,15.8646,15.9407,15.6989,15.9368
2019-11-07,15.9294,15.9728,15.3683,15.4847
2019-11-08,15.4799,15.498,15.142,15.2516
2019-11-11,15.2443,15.3672,15.1069,15.282
2019-11-12,15.2639,15.3216,15.1307,15.2317
2019-11-13,15.2347,15.4783,15.2273,15.417
2019-11-14,15.4074,15.5513,15.3478,15.4525
2019-11-15,15.4604,15.4604,15.2449,15.3426
2019-11-18,15.3551,15.4216,15.1414,15.3883
2019-11-19,15.3873,15.5163,15.3186,15.4818
2019-11-20,15.4805,15.5565,15.3872,15.4868
2019-11-21,15.5115,15.5237,15.3656,15.4625
2019-11-22,15.4618,15.5897,15.4037,15.4224
2019-11-25,15.4145,15.4258,15.2845,15.3322
2019-11-26,15.3081,15.5333,15.2754,15.4974
2019-11-27,15.5038,15.5128,15.3993,15.4152
2019-11-28,15.4143,15.4637,15.3661,15.3942
2019-11-29,15.3853,15.4661,15.339,15.4472
2019-12-02,15.425,15.4462,15.2442,15.2631
2019-12-03,15.2653,15.5273,15.2321,15.4943
2019-12-04,15.4932,15.6218,15.1541,15.2184
2019-12-05,15.2185,15.3282,15.1659,15.2741
2019-12-06,15.2743,15.3543,14.9521,14.9819
2019-12-09,14.9841,15.0689,14.9514,15.0127
2019-12-10,15.0116,15.0911,14.9795,15.0307
